Mach,YoungsModulus3,Density1,Density3,Flutter Speed,Mass,Flutter Frequency
0.15,79291338582.677,972.0,2816.774,71.11397824482424,0.3638197,35.81823041499827
0.15,62850393700.787,882.0,2877.258,64.03143623128332,0.3562935,33.12574311548992
0.15,71921259842.52,936.0,2937.742,68.02310671985843,0.3679935,34.406390682223154
0.15,67385826771.654,990.0,2649.839,65.80428461564027,0.35383,33.481037057835536
0.15,76456692913.386,900.0,2710.323,70.10638585148409,0.3463038,36.35705485427872
0.15,65118110236.22,954.0,2770.806,64.7257646755557,0.3580038,33.1034608270714
0.15,74188976377.953,1008.0,2831.29,68.78428311363828,0.3697039,34.33799030420068
0.15,69653543307.087,854.0,2891.774,67.42406263867161,0.3536327,34.9634293969143
0.15,78724409448.819,908.0,2661.935,71.0708390592049,0.3437798,36.85931450096973
0.15,63984251968.504,962.0,2722.419,64.16071298042871,0.3554798,32.86646379617787
0.15,73055118110.236,872.0,2782.903,68.75507034872547,0.3479536,35.78224934839964
0.15,68519685039.37,926.0,2843.387,66.452807414715,0.3596536,34.002732771331466
0.15,77590551181.102,980.0,2903.871,70.34590417255211,0.3713536,35.17914604492008
0.15,66251968503.937,890.0,2674.032,65.47269582176331,0.3422746,34.314789462009884
0.15,75322834645.669,944.0,2734.516,69.45781036080237,0.3539746,35.521713078746714
0.15,70787401574.803,998.0,2795.0,67.27268004124146,0.3656746,33.8131105155201
0.15,79858267716.535,860.0,2855.484,71.87732257425844,0.3517396,37.19388600012672
0.15,62141732283.465,914.0,2915.968,63.53631500342876,0.3634397,32.525576739784086
0.15,71212598425.197,968.0,2686.129,67.57336141432485,0.3535868,34.47988732719527
0.15,66677165354.331,878.0,2746.613,65.76527182620661,0.3460606,34.37540917412596
0.15,75748031496.063,932.0,2807.097,69.68807972152098,0.3577606,35.57751659747234
0.15,64409448818.898,986.0,2867.581,64.29638293879498,0.3694606,32.395949729998705
0.15,73480314960.63,896.0,2928.065,68.93273995308355,0.3619344,35.21637981824522
0.15,68944881889.764,950.0,2698.226,66.54789420142421,0.3520816,34.16319334449644
0.15,78015748031.496,1004.0,2758.71,70.54147418838762,0.3637816,35.32833820698946
0.15,63275590551.181,866.0,2819.194,64.27375220711994,0.3498466,33.54809790229907
0.15,72346456692.913,920.0,2879.677,68.25408678744976,0.3615466,34.817507127936466
0.15,67811023622.047,974.0,2940.161,65.97131233338675,0.3732467,33.108645296668485
0.15,76881889763.78,884.0,2652.258,70.34291459749633,0.339857,36.80167558619116
0.15,65543307086.614,938.0,2712.742,64.97644799942151,0.351557,33.505660945064044
0.15,74614173228.346,992.0,2773.226,69.03017471754819,0.363257,34.7299923822931
0.15,70078740157.48,902.0,2833.71,67.2806840152866,0.3557308,34.64249380200113
0.15,79149606299.213,956.0,2894.194,71.10819403501611,0.3674308,35.789593157276094
0.15,62708661417.323,1010.0,2664.355,63.517195235516894,0.357578,32.191709389909064
0.15,71779527559.055,850.667,2724.839,68.25254075021786,0.3407947,35.917898862611075
0.15,67244094488.189,904.667,2785.323,65.92372853703077,0.3524947,34.096614299074375
0.15,76314960629.921,958.667,2845.806,69.84885591751843,0.3641948,35.29214479594788
0.15,64976377952.756,868.667,2906.29,65.16461043203458,0.3566685,33.6978990379151
0.15,74047244094.488,922.667,2676.452,68.96145218157318,0.3468157,35.64779603216698
0.15,69511811023.622,976.667,2736.935,66.7448094511839,0.3585157,33.89996962772709
0.15,78582677165.354,886.667,2797.419,71.12453531487732,0.3509895,36.74534242772309
0.15,63842519685.039,940.667,2857.903,64.1877040506738,0.3626895,32.762343068876696
0.15,72913385826.772,994.667,2918.387,68.22595957208567,0.3743895,34.02365067951767
0.15,68377952755.906,856.667,2688.548,66.63201395142785,0.3389017,35.170718357651026
0.15,77448818897.638,910.667,2749.032,70.50526568660673,0.3506017,36.33615710097094
0.15,66110236220.472,964.667,2809.516,65.16776259341435,0.3623017,33.123081250938675
0.15,75181102362.205,874.667,2870.0,69.75923470553423,0.3547755,35.98219249078514
0.15,70645669291.339,928.667,2930.484,67.47408545319229,0.3664755,34.23298525601203
0.15,79716535433.071,982.667,2700.645,71.35606809004334,0.3566227,36.054275024660505
0.15,62425196850.394,892.667,2761.129,63.66853435661531,0.3490965,33.18663642977288
0.15,71496062992.126,946.667,2821.613,67.73183594763707,0.3607965,34.470542898543144
0.15,66960629921.26,1000.667,2882.097,65.46527640128298,0.3724965,32.77499132855591
0.15,76031496062.992,862.667,2942.581,70.29097443283989,0.3585615,36.11931709114899
0.15,64692913385.827,916.667,2654.677,64.63305240032065,0.3443981,33.690306176296886
0.15,73763779527.559,970.667,2715.161,68.71269067081606,0.3560981,34.92677610915252
0.15,69228346456.693,880.667,2775.645,66.96202253586183,0.3485719,34.84739283023148
0.15,78299212598.425,934.667,2836.129,70.80436010555653,0.3602719,36.00569253364059
0.15,63559055118.11,988.667,2896.613,63.88578309789736,0.371972,32.11758406982017
0.15,72629921259.843,898.667,2666.774,68.39373374294232,0.3428929,35.65812788690024
0.15,68094488188.976,952.667,2727.258,66.13850645802077,0.3545929,33.878340370251976
0.15,77165354330.709,1006.667,2787.742,70.14077437419424,0.3662929,35.06005197012097
0.15,65826771653.543,852.667,2848.226,65.60394260925045,0.3502217,34.22301255388992
0.15,74897637795.276,906.667,2908.71,69.48323406307128,0.3619217,35.444250761073654
0.15,70362204724.409,960.667,2678.871,67.19746007033207,0.3520689,34.39617028663373
0.15,79433070866.142,870.667,2739.355,71.53720915681295,0.3445427,37.28325586790534
0.15,62992125984.252,924.667,2799.839,63.81874707325558,0.3562427,32.871365935133454
0.15,72062992125.984,978.667,2860.323,67.8867655150746,0.3679427,34.146662184666404
0.15,67527559055.118,888.667,2920.806,66.25261098471168,0.3604165,34.0157291952956
0.15,76598425196.85,942.667,2690.968,70.0457714381128,0.3505636,35.911813610306595
0.15,65259842519.685,996.667,2751.452,64.69767597080217,0.3622637,32.72084892655324
0.15,74330708661.417,858.667,2811.935,69.424228313844,0.3483287,36.14801578646925
0.15,69795275590.551,912.667,2872.419,67.12670879600658,0.3600287,34.36452477285071
0.15,78866141732.283,966.667,2932.903,70.95864508597958,0.3717287,35.519295340368686
0.15,64125984251.969,876.667,2703.065,64.53219828715541,0.3426496,33.90988603715552
0.15,73196850393.701,930.667,2763.548,68.54771982700441,0.3543497,35.15759688430396
0.15,68661417322.835,984.667,2824.032,66.30734381748357,0.3660497,33.436092458054546
0.15,77732283464.567,894.667,2884.516,70.77349761724973,0.3585235,36.24300723300728
0.15,66393700787.402,948.667,2945.0,65.41390281543954,0.3702235,33.053699582305285
0.15,75464566929.134,1002.667,2645.484,69.55042259155653,0.3551979,35.07174336586338
0.15,70929133858.268,864.667,2705.968,67.77765629259076,0.341263,35.60227241128511
0.15,80000000000.0,918.667,2766.452,71.58519871107536,0.352963,36.72443787982594
0.15,62070866141.732,972.667,2826.935,63.20017851890447,0.364663,32.09264622696804
0.15,71141732283.465,882.667,2887.419,67.91858737419332,0.3571368,34.9660695195255
0.15,66606299212.598,936.667,2657.581,65.49564802059388,0.347284,33.890871055795365
0.15,75677165354.331,990.667,2718.065,69.55131651340093,0.358984,35.09251284355891
0.15,64338582677.165,900.667,2778.548,64.56200793896225,0.3514578,33.49897089789937
0.15,73409448818.898,954.667,2839.032,68.5699077722344,0.3631578,34.7470449615252
0.15,68874015748.031,1008.667,2899.516,66.33694531730028,0.3748578,33.06664432235703
0.15,77944881889.764,854.667,2669.677,70.93803803142448,0.3372337,37.36534966966848
0.15,63204724409.449,908.667,2730.161,63.9597513458619,0.3489337,33.25801733658568
0.15,72275590551.181,962.667,2790.645,68.03537609057103,0.3606338,34.52884046804777
0.15,67740157480.315,872.667,2851.129,66.37671195209447,0.3531075,34.41800417951654
0.15,76811023622.047,926.667,2911.613,70.22443678260534,0.3648076,35.60529109622446
0.15,65472440944.882,980.667,2681.774,64.86407723930851,0.3549547,33.08823013983253
0.15,74543307086.614,890.667,2742.258,69.30042281712107,0.3474285,35.979550049733234
0.15,70007874015.748,944.667,2802.742,67.05548597402365,0.3591285,34.21427844414042
0.15,79078740157.48,998.667,2863.226,70.94956165183036,0.3708285,35.364740369810754
0.15,62637795275.591,860.667,2923.71,64.11813585525098,0.3568936,33.20195250829304
0.15,71708661417.323,914.667,2693.871,67.92445756276456,0.3470407,35.193878992242624
0.15,67173228346.457,968.667,2754.355,65.65972531473943,0.3587407,33.437396310973554
0.15,76244094488.189,878.667,2814.839,70.15690971706317,0.3512145,36.303692769418745
0.15,64905511811.024,932.667,2875.323,64.74384796266679,0.3629146,33.05076259058047
0.15,73976377952.756,986.667,2935.806,68.73461459204223,0.3746146,34.2927367839746
